tax_id,parent_id,rank,tax_name,root,kingdom,phylum,class,order,family,genus,species
Root,Root,root,Root,Root,,,,,,,
k__Bacteria,Root,kingdom,k__Bacteria,Root,k__Bacteria,,,,,,
p__Proteobacteria,k__Bacteria,phylum,p__Proteobacteria,Root,k__Bacteria,p__Proteobacteria,,,,,
c__Gammaproteobacteria,p__Proteobacteria,class,c__Gammaproteobacteria,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,,,,
p__Chlorobi,k__Bacteria,phylum,p__Chlorobi,Root,k__Bacteria,p__Chlorobi,,,,,
c__SJA-28,p__Chlorobi,class,c__SJA-28,Root,k__Bacteria,p__Chlorobi,c__SJA-28,,,,
p__Cyanobacteria,k__Bacteria,phylum,p__Cyanobacteria,Root,k__Bacteria,p__Cyanobacteria,,,,,
c__Melainabacteria,p__Cyanobacteria,class,c__Melainabacteria,Root,k__Bacteria,p__Cyanobacteria,c__Melainabacteria,,,,
o__Caenarcaniphilales,c__Melainabacteria,order,o__Caenarcaniphilales,Root,k__Bacteria,p__Cyanobacteria,c__Melainabacteria,o__Caenarcaniphilales,,,
p__Saccharibacteria,k__Bacteria,phylum,p__Saccharibacteria,Root,k__Bacteria,p__Saccharibacteria,,,,,
c__[Saccharimonia],p__Saccharibacteria,class,c__[Saccharimonia],Root,k__Bacteria,p__Saccharibacteria,c__[Saccharimonia],,,,
o__[Saccharimonales],c__[Saccharimonia],order,o__[Saccharimonales],Root,k__Bacteria,p__Saccharibacteria,c__[Saccharimonia],o__[Saccharimonales],,,
p__Aminicenantes,k__Bacteria,phylum,p__Aminicenantes,Root,k__Bacteria,p__Aminicenantes,,,,,
p__Acidobacteria,k__Bacteria,phylum,p__Acidobacteria,Root,k__Bacteria,p__Acidobacteria,,,,,
c__Acidobacteriia,p__Acidobacteria,class,c__Acidobacteriia,Root,k__Bacteria,p__Acidobacteria,c__Acidobacteriia,,,,
p__Parcubacteria,k__Bacteria,phylum,p__Parcubacteria,Root,k__Bacteria,p__Parcubacteria,,,,,
p__Bacteroidetes,k__Bacteria,phylum,p__Bacteroidetes,Root,k__Bacteria,p__Bacteroidetes,,,,,
c__Bacteroidia,p__Bacteroidetes,class,c__Bacteroidia,Root,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,,,,
o__Bacteroidales,c__Bacteroidia,order,o__Bacteroidales,Root,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,,,
