seqname,tax_id
A00002525,g__Saccharomonospora
A00002527,g__Acinetobacter
A00003979,g__Clostridium
A00003978,g__Dorea
A00003975,p__Thermodesulfobacteria
A00003974,g__Corynebacterium
A00003977,g__Actinobacillus
A00003976,g__Campylobacter
A00003971,g__Bacillus
A00003970,g__Haemophilus
A00003973,g__Treponema
A00003972,g__Zymomonas
A00002526,o__Rhizobiales
A00002378,g__Staphylococcus
A00002379,g__Klebsiella
A00002374,g__Streptococcus
A00002375,g__Veillonella
A00002376,g__Campylobacter
A00002377,g__Escherichia
A00002370,g__Enterococcus
A00002371,g__Bacillus
A00002372,g__Staphylococcus
A00002373,g__Eubacterium
A00003399,g__Marinobacter
A00003398,g__Burkholderia
A00003391,g__Corynebacterium
A00003390,g__Escherichia
A00003393,g__Campylobacter
A00003392,g__Ruminococcus
A00003395,p__Synergistetes
A00003394,g__Nitrosococcus
A00003397,g__Campylobacter
A00003396,g__Staphylococcus
A00002297,o__[Nitratiruptorales]
A00002296,g__Thermoanaerobacteraceae
A00003029,g__Aggregatibacter
A00003028,g__Campylobacter
A00003027,g__Staphylococcus
A00003026,g__Vibrio
A00003025,g__Azospirillum
A00003024,g__Hippea
A00003023,g__Campylobacter
A00003022,g__Fervidobacterium
A00003020,g__Spirochaeta
A00002295,g__Lactococcus
A00002629,g__Comamonas
A00002994,g__Rhizobium
A00000619,f__Thermotogaceae
A00000618,f__Cenarchaeaceae
A00002995,g__Staphylococcus
A00000614,g__Lactobacillus
A00000617,g__Neisseria
A00000616,g__Methylobacterium
A00000611,g__Frankia
A00002996,g__Sinorhizobium_Ensifer
A00000613,c__Chloroflexi
A00000612,g__Gluconacetobacter
A00002997,f__Rhodobacteraceae
A00002990,g__Lewinella
A00002293,g__Riemerella
A00002991,g__Citrobacter
A00002992,o__Rhodospirillales
A00002621,g__Salmonella
A00002292,g__Porphyromonas
A00003572,g__Acaryochloris
A00002291,g__Leuconostoc
A00003578,g__Amycolatopsis
A00002290,g__Bacillus
A00004118,g__Enterococcus
A00004119,g__Sinorhizobium_Ensifer
A00004116,g__Bradyrhizobium
A00004117,g__Ruminococcus
A00004114,g__Corynebacterium
A00004115,g__Saccharomonospora
A00004112,g__Prevotella
A00004113,g__Bacteroides
A00004110n0,g__Francisella
A00004110n1,g__Francisella
A00004111,g__Sulfitobacter
A00000180,g__Nitrobacter
A00004361,g__Bacteroides
A00002613,g__Ectothiorhodospira
A00002612,g__Saccharomonospora
A00002611,g__Staphylococcus
A00002610,g__Agrobacterium
A00002617,g__Vibrio
A00002616,g__Sulfobacillus
A00002615,g__Campylobacter
A00002614,g__Escherichia
A00002969,g__Escherichia
A00002968,g__Desulfovibrio
A00002619,g__Hymenobacter
A00002618,g__Oenococcus
A00003621,g__Streptomyces
A00003562,g__Brucella
A00003563,g__Rickettsia
A00003560,g__Campylobacter
A00003561,g__Streptococcus
A00003566,g__Listeria
A00003567,g__Yersinia
A00003564,g__Bacillus
A00003565,g__Brucella
A00003568,g__Neisseria
A00003569,g__Mesorhizobium
A00001700,g__Borrelia
A00001701,f__Verrucomicrobiaceae
A00001702,g__Borrelia
A00001703,g__Campylobacter
A00001704,g__Bacteroides
A00001705,g__Ureaplasma
A00001706,g__Alistipes
A00001707,s__nucleatum
A00001708,g__Borrelia
A00001709,g__Borrelia
A00005410,g__Francisella
A00005411,g__Helicobacter
A00005412,g__Francisella
A00005396,g__Bacillus
A00005467,f__Spirolinaceae
A00005393,f__Rhodobacteraceae
A00005392,g__Gordonia
A00005391,g__Alistipes
A00005462,g__Bacillus
A00005414,g__Salmonella
A00005469,g__Thioalkalivibrio
A00005399,g__Rhizobium
A00005415,g__Salmonella
A00003706,g__Pseudomonas
A00003707,g__Anaplasma
A00003704,g__Terriglobus
A00003705,g__Rickettsia
A00003702,g__Streptomyces
A00005416,g__Salmonella
A00003700,g__Staphylococcus
A00003701,g__Congregibacter
A00005417,g__Salmonella
A00003708,g__Staphylococcus
A00003709,g__Oribacterium
A00004243,g__Methylobacterium
A00003624,g__Staphylococcus
A00004938,f__Nostocaceae
A00004939,g__Enterococcus
A00004934,f__Holophagaceae
A00004935,f__Flavobacteriaceae
A00004936,f__Sphingomonadaceae
A00004937,g__Propionibacterium
A00004930,o__Oceanospirillales
A00004931,o__Oceanospirillales
A00004932,g__Pleomorphomonas
A00004933,f__Flavobacteriaceae
A00004467,g__Lachnoclostridium
A00004464,f__Rhodobacteraceae
A00004465,g__Staphylococcus
A00004462,g__Brevundimonas
