tax_id,parent_id,rank,tax_name,root,kingdom,phylum,class,order,family,genus
Root,Root,root,Root,Root,,,,,,
mer,Root,kingdom,mer,Root,mer,,,,,
Euryarchaeota_mer,mer,phylum,Euryarchaeota_mer,Root,mer,Euryarchaeota_mer,,,,
Methanopyri,Euryarchaeota_mer,class,Methanopyri,Root,mer,Euryarchaeota_mer,Methanopyri,,,
Methanococci,Euryarchaeota_mer,class,Methanococci,Root,mer,Euryarchaeota_mer,Methanococci,,,
Methanomicrobia,Euryarchaeota_mer,class,Methanomicrobia,Root,mer,Euryarchaeota_mer,Methanomicrobia,,,
Methanobacteria,Euryarchaeota_mer,class,Methanobacteria,Root,mer,Euryarchaeota_mer,Methanobacteria,,,
Methanosarcinales,Methanomicrobia,order ,Methanosarcinales,Root,mer,Euryarchaeota_mer,Methanomicrobia,Methanosarcinales,,
Methanomicrobiales,Methanomicrobia,order ,Methanomicrobiales,Root,mer,Euryarchaeota_mer,Methanomicrobia,Methanomicrobiales,,
Methanobacteriales,Methanobacteria,order ,Methanobacteriales,Root,mer,Euryarchaeota_mer,Methanobacteria,Methanobacteriales,,
Methanopyrales,Methanopyri,order ,Methanopyrales,Root,mer,Euryarchaeota_mer,Methanopyri,Methanopyrales,,
Methanococcales,Methanococci,order ,Methanococcales,Root,mer,Euryarchaeota_mer,Methanococci,Methanococcales,,
Methanocellales,Methanomicrobia,order ,Methanocellales,Root,mer,Euryarchaeota_mer,Methanomicrobia,Methanocellales,,
Methanosarcinaceae,Methanosarcinales,family ,Methanosarcinaceae,Root,mer,Euryarchaeota_mer,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,
Methanospirillaceae,Methanomicrobiales,family ,Methanospirillaceae,Root,mer,Euryarchaeota_mer,Methanomicrobia,Methanomicrobiales,Methanospirillaceae,
Methanobateriaceae,Methanobacteriales,family ,Methanobateriaceae,Root,mer,Euryarchaeota_mer,Methanobacteria,Methanobacteriales,Methanobateriaceae,
Methanopyraceae,Methanopyrales,family ,Methanopyraceae,Root,mer,Euryarchaeota_mer,Methanopyri,Methanopyrales,Methanopyraceae,
Methanocaldoccaceae,Methanococcales,family ,Methanocaldoccaceae,Root,mer,Euryarchaeota_mer,Methanococci,Methanococcales,Methanocaldoccaceae,
Methanosaetaceae,Methanosarcinales,family ,Methanosaetaceae,Root,mer,Euryarchaeota_mer,Methanomicrobia,Methanosarcinales,Methanosaetaceae,
Methanomicrobiaceae,Methanobacteriales,family ,Methanomicrobiaceae,Root,mer,Euryarchaeota_mer,Methanomicrobia,Methanomicrobiales,Methanomicrobiaceae,
Methanobacteriaceae,Methanobacteriales,family ,Methanobacteriaceae,Root,mer,Euryarchaeota_mer,Methanobacteria,Methanobacteriales,Methanobacteriaceae,
Methanoregulaceae,Methanomicrobiales,family ,Methanoregulaceae,Root,mer,Euryarchaeota_mer,Methanomicrobia,Methanomicrobiales,Methanoregulaceae,
Methanocaldococcaceae,Methanococcales,family ,Methanocaldococcaceae,Root,mer,Euryarchaeota_mer,Methanococci ,Methanococcales,Methanocaldococcaceae,
Methanothermaceae,Methanobacteriales,family ,Methanothermaceae,Root,mer,Euryarchaeota_mer,Methanobacteria,Methanobacteriales,Methanothermaceae,
Methanococcaceae,Methanococcales,family ,Methanococcaceae,Root,mer,Euryarchaeota_mer,Methanococci,Methanococcales,Methanococcaceae,
Methanocellalceae,Methanocellales,family ,Methanocellalceae,Root,mer,Euryarchaeota_mer,Methanomicrobia,Methanocellales,Methanocellalceae,
Methanomicrobicaea,Methanomicrobiales,family ,Methanomicrobicaea,Root,mer,Euryarchaeota_mer,Methanomicrobia,Methanomicrobiales,Methanomicrobicaea,
Methanoregulaceae,Methanomicrobiales,family ,Methanoregulaceae,Root,mer,Euryarchaeota_mer,Methanomicrobia,Methanomicrobiales,Methanoregulaceae,
Methanoflorentaceae,Methanocellales,family ,Methanoflorentaceae,Root,mer,Euryarchaeota_mer,Methanomicrobia,Methanocellales,Methanoflorentaceae,
Methanocorpusculaceae,Methanomicrobiales,family ,Methanocorpusculaceae,Root,mer,Euryarchaeota_mer,Methanomicrobia,Methanomicrobiales,Methanocorpusculaceae,
Methanosarcina,Methanosarcinaceae,genus,Methanosarcina,Root,mer,Euryarchaeota_mer,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanosarcina
Methanospirillum,Methanospirillaceae,genus,Methanospirillum,Root,mer,Euryarchaeota_mer,Methanomicrobia,Methanomicrobiales,Methanospirillaceae,Methanospirillum
methanococcoides,Methanosarcinaceae,genus,methanococcoides,Root,mer,Euryarchaeota_mer,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanococcoides
Methanobacterium,Methanobateriaceae,genus,Methanobacterium,Root,mer,Euryarchaeota_mer,Methanobacteria,Methanobacteriales,Methanobateriaceae,Methanobacterium
Methanopyrus,Methanopyraceae,genus,Methanopyrus,Root,mer,Euryarchaeota_mer,Methanopyri,Methanopyrales,Methanopyraceae,Methanopyrus
Methanocaldococcus,Methanocaldoccaceae,genus,Methanocaldococcus,Root,mer,Euryarchaeota_mer,Methanococci,Methanococcales,Methanocaldoccaceae,Methanocaldococcus
Methanosaeta,Methanosaetaceae,genus,Methanosaeta,Root,mer,Euryarchaeota_mer,Methanomicrobia,Methanosarcinales,Methanosaetaceae,Methanosaeta
Methanoculleus,Methanomicrobiaceae,genus,Methanoculleus,Root,mer,Euryarchaeota_mer,Methanomicrobia,Methanomicrobiales,Methanomicrobiaceae,Methanoculleus
Methanobrevibacter,Methanobacteriaceae,genus,Methanobrevibacter,Root,mer,Euryarchaeota_mer,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobrevibacter
Methanoregula,Methanoregulaceae,genus,Methanoregula,Root,mer,Euryarchaeota_mer,Methanomicrobia,Methanomicrobiales,Methanoregulaceae,Methanoregula
Methanosphaerula,Methanospirillaceae,genus,Methanosphaerula,Root,mer,Euryarchaeota_mer,Methanomicrobia,Methanomicrobiales,Methanospirillaceae,Methanosphaerula
Methanothermophilus,Methanosarcinaceae,genus,Methanothermophilus,Root,mer,Euryarchaeota_mer,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanohalophilus
methanohalobium,methanosarcinaceae,genus,methanohalobium,Root,mer,Euryarchaeota_mer,Methanomicrobia,Methanosarcinales,methanosarcinaceae,Methanohalobium
Methanothermobacter,methanobacteriaceae,genus,Methanothermobacter,Root,mer,Euryarchaeota_mer,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanothermobacter
Methanoplanus,Methanomicrobiaceae,genus,Methanoplanus,Root,mer,Euryarchaeota_mer,Methanomicrobia,Methanomicrobiales,Methanomicrobiaceae,Methanoplanus
Methanothermus,Methanothermaceae,genus,Methanothermus,Root,mer,Euryarchaeota_mer,Methanobacteria,Methanobacteriales,Methanothermaceae,Methanothermus
Methanotorris,Methanocaldococcaceae,genus,Methanotorris,Root,mer,Euryarchaeota_mer,Methanococci,Methanococcales,Methanocaldococcaceae,Methanotorris
Methanothermococcus,Methanococcaceae,genus,Methanothermococcus,Root,mer,Euryarchaeota_mer,Methanococci,Methanococcales,Methanococcaceae,Methanothermococcus
Methanosalsum,Methanosarcinaceae,genus,Methanosalsum,Root,mer,Euryarchaeota_mer,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanosalsum
Methanocella,Methanocellalceae,genus,Methanocella,Root,mer,Euryarchaeota_mer,Methanomicrobia,Methanocellales,Methanocellalceae,Methanocella
Methanofollis,Methanomicrobiaceae,genus,Methanofollis,Root,mer,Euryarchaeota_mer,Methanomicrobia,Methanomicrobiales,Methanomicrobiaceae,Methanofollis
